Japanese_name,Species,SRA,BioSample,Ave_depth,mu,Generation_time
ニホンウナギ,Anguilla japonica,SRR19974267,SAMN29326702,109.7,7.4E-08,8.5
イラコアナゴ,Synaphobranchus kaupii,SRR15082970,SAMN20062003,9.9,1.0E-08,FishLife
キンメダイ,Beryx splendens,ERR1473897,SAMEA4028808,13.3,1.0E-08,FishLife
コマイ,Eleginus gracilis,SRR12199771,SAMN15508110,13.6,1.0E-08,FishLife
スケトウダラ,Gadus chalcogrammus,SRR14784771,SAMN19665369,37.2,6.0E-09,10
マダラ,Gadus macrocephalus,SRR21531029,SAMN30802603,47.9,6.0E-09,10
アカマンボウ,Lampris megalopsis,SRR21383269,SAMN22826595,45.3,1.0E-08,FishLife
マルアジ,Decapterus maruadsi,SRR22328126,SAMN31777759,40.1,1.0E-08,FishLife
マアジ,Trachurus japonicus,x,x,x,1.0E-08,FishLife
カンパチ,Seriola dumerili,DRR121626,SAMD00109156,23.5,1.0E-08,FishLife
ボラ,Mugil cephalus,SRR15214610,SAMN16703275,81.2,1.0E-08,FishLife
イシダイ,Oplegnathus fasciatus,SRR16896027,SAMN22966831,39.7,1.0E-08,FishLife
スマ,Euthynnus affinis,SRR14329338,SAMN18876749,35.5,1.0E-08,3.25
マサバ,Scomber japonicus,SRR26673749,SAMN38107556,31.6,1.0E-08,FishLife
クロマグロ,Thunnus orientalis,SRR14329339,SAMN18876748,43.4,7.3E-08,2.5,
マダイ,Pagrus major,DRR089066,SAMD00076252,12.4,1.0E-08,FishLife
ヒラメ,Paralichthys olivaceus,x,x,36.5,1.85E-09,3
ホシガレイ,Verasper variegatus,SRR21480267,SAMN30723058,28.9,1.0E-08,FishLife
ホッケ,Pleurogrammus azonus,xx,xx,42.3,1.0E-08,FishLife
ユメカサゴ,Helicolenus hilgendorfii,ERR5241692,SAMEA7962316,26.5,1.0E-08,FishLife
バラメヌケ,Sebastes baramenuke,ERR5241700,SAMEA7962325,18.3,1.0E-08,FishLife
シロメバル,Sebastes cheni,ERR5241704,SAMEA7962329,30.5,1.0E-08,FishLife
クロソイ,Sebastes schlegelii,ERR5241771,SAMEA7962400,19.4,1.0E-08,FishLife
ウスメバル,Sebastes thompsoni,ERR5241777,SAMEA7962406,18.5,1.0E-08,FishLife
キツネメバル,Sebastes vulpes,ERR5241781,SAMEA7962413,18.3,1.0E-08,FishLife
トラフグ,Takifugu rubripes,ERR3332418,SAMEA104384834,30.2,2.5E-09,4
マトウダイ,Zeus faber,ERR11641144,SAMEA111562293,14.3,1.0E-08,FishLife
マダコ,Octopus vulgaris,SRR7898210-SRR7898213,SAMN10120072,51.0,2.4E-09,2.5
ソデイカ,Thysanoteuthis rhombus,EERR11872602,SAMEA11646334,58.9,2.4E-09,1
タイセイヨウマダラ,Gadus morhua,x,x,68.0,6.0E-09,10
タイセイニシン,Clupea harengus,x,x,40.2,2.0E-09,6
ガザミ,Portunus trituberculatus,x,x,50.3,2.0E-09,3
アサリ,Ruditapes philippinarum,x,x,18.6,2.5E-08,2
ニホンイトヨ,Gasterosteus nipponicus,x,x,39.5,7.1E-09,1


